timestamp,block_number,stakeDao_price,curve_price,price_difference,price_difference_percent
2025-04-07T12:12:11.000Z,22216942,0.999628,0.999628,,0.0000
2025-04-07T20:15:35.000Z,22219342,0.999636,0.999636,,0.0000
2025-04-08T04:18:23.000Z,22221742,0.999634,0.999634,,0.0000
2025-04-08T12:19:59.000Z,22224142,0.999823,0.999823,,0.0000
2025-04-08T20:22:47.000Z,22226542,0.999762,0.999762,,0.0000
2025-04-09T04:24:59.000Z,22228942,0.999753,0.999753,,0.0000
2025-04-09T12:27:11.000Z,22231342,0.999615,0.999615,,0.0000
2025-04-09T20:28:59.000Z,22233742,0.999618,0.999618,,0.0000
2025-04-10T04:29:59.000Z,22236142,0.999616,0.999616,,0.0000
2025-04-10T12:30:59.000Z,22238542,0.999311,0.999311,,0.0000
2025-04-10T20:33:35.000Z,22240942,0.999317,0.999317,,0.0000
2025-04-11T04:35:47.000Z,22243342,0.999718,0.999718,,0.0000
2025-04-11T12:36:47.000Z,22245742,0.999789,0.999789,,0.0000
2025-04-11T20:38:59.000Z,22248142,0.999809,0.999809,,0.0000
2025-04-12T04:39:47.000Z,22250542,0.999811,0.999811,,0.0000
2025-04-12T12:40:35.000Z,22252942,0.999904,0.999904,,0.0000
2025-04-12T20:42:59.000Z,22255342,0.999905,0.999905,,0.0000
2025-04-13T04:44:47.000Z,22257742,1.000033,1.000033,,0.0000
2025-04-13T12:46:35.000Z,22260142,1.000099,1.000099,,0.0000
2025-04-13T20:47:59.000Z,22262542,1.000098,1.000098,,0.0000
2025-04-14T04:49:23.000Z,22264942,1.000096,1.000096,,0.0000
2025-04-14T12:51:23.000Z,22267342,1.000105,1.000105,,0.0000
2025-04-14T20:54:23.000Z,22269742,1.000226,1.000226,,0.0000
2025-04-15T04:56:35.000Z,22272142,1.000296,1.000296,,0.0000
2025-04-15T12:59:59.000Z,22274542,1.000312,1.000312,,0.0000
2025-04-15T21:02:59.000Z,22276942,1.000318,1.000318,,0.0000
2025-04-16T05:03:59.000Z,22279342,1.000313,1.000313,,0.0000
2025-04-16T13:05:35.000Z,22281742,1.000316,1.000316,,0.0000
2025-04-16T21:08:23.000Z,22284142,1.000315,1.000315,,0.0000
2025-04-17T05:11:47.000Z,22286542,1.000317,1.000317,,0.0000
2025-04-17T13:13:47.000Z,22288942,1.000169,1.000169,,0.0000
2025-04-17T21:15:59.000Z,22291342,1.000150,1.000150,,0.0000
2025-04-18T05:17:35.000Z,22293742,1.000392,1.000392,,0.0000
2025-04-18T13:20:11.000Z,22296142,1.000394,1.000394,,0.0000
2025-04-18T21:22:35.000Z,22298542,1.000397,1.000397,,0.0000
2025-04-19T05:24:23.000Z,22300942,1.000399,1.000399,,0.0000
2025-04-19T13:27:11.000Z,22303342,1.000400,1.000400,,0.0000
2025-04-19T21:29:47.000Z,22305742,1.000402,1.000402,,0.0000
2025-04-20T05:32:23.000Z,22308142,1.000404,1.000404,,0.0000
2025-04-20T13:34:35.000Z,22310542,1.000405,1.000405,,0.0000
2025-04-20T21:36:59.000Z,22312942,1.000271,1.000271,,0.0000
2025-04-21T05:40:11.000Z,22315342,1.000273,1.000273,,0.0000
2025-04-21T13:41:23.000Z,22317742,1.000303,1.000303,,0.0000
2025-04-21T21:44:11.000Z,22320142,1.000412,1.000412,,0.0000
2025-04-22T05:46:35.000Z,22322542,1.000422,1.000422,,0.0000
2025-04-22T13:48:11.000Z,22324942,1.000429,1.000429,,0.0000
2025-04-22T21:49:35.000Z,22327342,1.000435,1.000435,,0.0000
2025-04-23T05:53:35.000Z,22329742,1.000439,1.000439,,0.0000
2025-04-23T13:56:47.000Z,22332142,1.000444,1.000444,,0.0000
2025-04-23T21:57:47.000Z,22334542,1.000445,1.000445,,0.0000
2025-04-24T05:59:35.000Z,22336942,1.000447,1.000447,,0.0000
2025-04-24T14:04:11.000Z,22339342,1.000450,1.000450,,0.0000
2025-04-24T22:06:47.000Z,22341742,1.000464,1.000464,,0.0000
2025-04-25T06:07:47.000Z,22344142,1.000467,1.000467,,0.0000
2025-04-25T14:09:59.000Z,22346542,1.000477,1.000477,,0.0000
2025-04-25T22:12:11.000Z,22348942,1.000519,1.000519,,0.0000
2025-04-26T06:13:11.000Z,22351342,1.000543,1.000543,,0.0000
2025-04-26T14:15:11.000Z,22353742,1.000560,1.000560,,0.0000
2025-04-26T22:16:47.000Z,22356142,1.000572,1.000572,,0.0000
2025-04-27T06:17:35.000Z,22358542,1.000577,1.000577,,0.0000
2025-04-27T14:18:35.000Z,22360942,1.000591,1.000591,,0.0000
2025-04-27T22:20:23.000Z,22363342,1.000482,1.000482,,0.0000
2025-04-28T06:22:11.000Z,22365742,1.000657,1.000657,,0.0000
2025-04-28T14:25:47.000Z,22368142,1.000672,1.000672,,0.0000
2025-04-28T22:28:47.000Z,22370542,1.000699,1.000699,,0.0000
2025-04-29T06:31:35.000Z,22372942,1.000701,1.000701,,0.0000
2025-04-29T14:34:11.000Z,22375342,1.000351,1.000351,,0.0000
2025-04-29T22:37:59.000Z,22377742,1.000785,1.000785,,0.0000
2025-04-30T06:41:59.000Z,22380142,1.000787,1.000787,,0.0000
2025-04-30T14:45:47.000Z,22382542,1.000599,1.000599,,0.0000
2025-04-30T22:49:35.000Z,22384942,1.000835,1.000835,,0.0000
2025-05-01T06:54:35.000Z,22387342,1.000838,1.000838,,0.0000
2025-05-01T14:58:11.000Z,22389742,1.000840,1.000840,,0.0000
2025-05-01T23:02:35.000Z,22392142,1.000848,1.000848,,0.0000
2025-05-02T07:07:59.000Z,22394542,1.000850,1.000850,,0.0000
2025-05-02T15:14:35.000Z,22396942,1.000900,1.000900,,0.0000
2025-05-02T23:19:35.000Z,22399342,1.000917,1.000917,,0.0000
2025-05-03T07:24:35.000Z,22401742,1.000939,1.000939,,0.0000
2025-05-03T15:26:11.000Z,22404142,1.000950,1.000950,,0.0000
2025-05-03T23:29:23.000Z,22406542,1.000952,1.000952,,0.0000
2025-05-04T07:33:47.000Z,22408942,1.000958,1.000958,,0.0000
2025-05-04T15:39:35.000Z,22411342,1.000963,1.000963,,0.0000
2025-05-04T23:43:23.000Z,22413742,1.000965,1.000965,,0.0000
2025-05-05T07:46:59.000Z,22416142,1.000969,1.000969,,0.0000
2025-05-05T15:50:59.000Z,22418542,1.000974,1.000974,,0.0000
2025-05-05T23:54:59.000Z,22420942,1.000976,1.000976,,0.0000
2025-05-06T08:01:47.000Z,22423342,1.000753,1.000753,,0.0000
2025-05-06T16:05:23.000Z,22425742,1.000850,1.000850,,0.0000
