metric,ETHstETH,USDCUSDT,cbBTCwBTC,sUSDSUSDT,yCRVCRV
Total Data Points,362,364,363,175,257
Correlation,1.000000,1.000000,1.000000,0.998605,1.000000
Average Price Difference (%),0.0000,0.0000,0.0000,6.0596,0.0000
Max Price Difference (%),0.0000,0.0000,0.0000,6.4584,0.0000
Min Price Difference (%),0.0000,0.0000,0.0000,5.6679,0.0000
Standard Deviation (Absolute),0.000000,0.000000,0.000000,0.002461,0.000000
Standard Deviation (%),0.0000,0.0000,0.0000,0.2329,0.0000
Tracking Error,0.000000,0.000000,0.000000,0.061302,0.000000
StakeDAO Volatility (%),4.180092,0.010226,2.095603,0.015510,0.936909
Curve Volatility (%),4.180092,0.010226,2.095603,0.020152,0.936909
Information Ratio,0.000000,0.000000,0.000000,0.999194,0.000000
Max Drawdown (%),0.237938,0.000633,0.110558,0.000435,0.319656
Median Absolute Deviation,0.000000,0.000000,0.000000,0.002152,0.000000
StakeDAO Higher (%),0.00,0.00,0.00,0.00,0.00
StakeDAO Lower (%),0.00,0.00,0.00,100.00,0.00
Prices Equal (%),100.00,100.00,100.00,0.00,100.00
